Заболели;Умерли;Вылечились;Активные случаи
США;44339747;713227;0;-1
Индия;33971607;450782;0;33520825
Бразилия;21575820;601011;0;20974809
Великобритания;8166153;137835;0;-1
Россия;7804774;217372;6873579;713823
Турция;7444522;66180;0;7378342
Франция;6904531;114960;0;-1
Иран;5702890;122592;0;5580298
Аргентина;5265859;115473;0;5150386
Испания;4973619;86778;0;-1
Колумбия;4972236;126623;0;4845613
Италия;4700316;131301;0;4569015
Германия;4318437;94213;0;4224224
Индонезия;4227932;142651;0;4085281
Мексика;3723235;282086;0;3441149
Польша;2922401;75869;0;2846532
ЮАР;2912145;88317;0;2823828
Филиппины;2666562;39624;0;2626938
Украина;2657699;62332;0;2595367
Малайзия;2339594;27329;0;2312265
Перу;2184223;199675;0;1984548
Нидерланды;2025926;18224;0;-1
Ирак;2023761;22563;0;2001198
Япония;1711756;17952;0;1693804
Таиланд;1710884;17691;0;1693193
Чехия;1699743;30501;0;1669242
Канада;1666908;28254;0;1638654
Чили;1662433;37564;0;1624869
Бангладеш;1562359;27688;0;1534671
Румыния;1356640;39420;0;1317220
Израиль;1305711;7920;0;1297791
Бельгия;1261102;25675;0;-1
Пакистан;1258959;28134;0;1230825
Швеция;1157822;14905;0;-1
Португалия;1075312;18041;0;1057271
Сербия;1005168;8737;0;-1
Казахстан;982888;16346;0;966542
Марокко;939187;14457;0;924730
Куба;918383;7851;0;910532
Швейцария;848418;11120;0;837298
Вьетнам;839662;20555;0;819107
Иордания;833471;10811;0;822660
Венгрия;827410;30275;0;797135
Непал;802198;11231;0;790967
Австрия;761218;11096;0;750122
ОАЭ;737766;2113;0;735653
Тунис;709834;25028;0;684806
Греция;676799;15135;0;661664
Грузия;634053;9246;0;624807
Ливан;630180;8385;0;621795
Гватемала;579489;14027;0;565462
Белоруссия;557772;4289;0;553483
Саудовская Аравия;547591;8745;0;538846
Коста-Рика;544021;6612;0;537409
Шри-Ланка;526383;13331;0;513052
Болгария;520862;21656;0;499206
Эквадор;511699;32836;0;478863
Боливия;503735;18795;0;484940
Азербайджан;492179;6664;0;485515
Мьянма ;478651;18134;0;460517
Панама;469082;7267;0;461815
Парагвай;460190;16206;0;443984
Палестинские территории;441882;4465;0;437417
Словакия;425569;12731;0;412838
Хорватия;417858;8772;0;409086
Кувейт;412079;2454;0;409625
Ирландия;403157;5280;0;397877
Уругвай;390038;6064;0;383974
Венесуэла;383376;4617;0;378759
Гондурас;369030;9948;0;359082
Доминиканская Республика;365558;4067;0;361491
Дания;363900;2669;0;361231
Эфиопия;354476;5990;0;348486
Литва;351939;5231;0;346708
Ливия;346176;4775;0;341401
Южная Корея;332816;2583;0;330233
Монголия;326738;1450;0;325288
Египет;312413;17695;0;294718
Молдова;306647;7024;0;299623
Оман;303965;4102;0;299863
Словения;301458;4613;0;296845
Бахрейн;275654;1390;0;274264
Армения;272356;5549;0;266807
Кения;251152;5181;0;245971
Босния и Герцеговина;240094;10863;0;229231
Катар;237424;607;0;236817
Замбия;209347;3654;0;205693
Нигерия;207694;2747;0;204947
Алжир;204597;5853;0;198744
Северная Македония;194891;6831;0;188060
Норвегия;193562;871;0;192691
Ботсвана;180438;2376;0;178062
Киргизия;179281;2619;0;176662
Узбекистан;178259;1269;0;176990
Албания;174968;2768;0;172200
Латвия;171276;2801;0;168475
Эстония;164618;1394;0;163224
Косово;160386;2970;0;157416
Афганистан;155508;7225;0;148283
Мозамбик;150985;1922;0;149063
Финляндия;145679;1096;0;144583
Черногория;135298;1986;0;133312
Зимбабве;131796;4637;0;127159
Австралия;129567;1448;0;128119
Гана;128368;1158;0;127210
Намибия;128106;3527;0;124579
Сингапур;126966;162;0;126804
Уганда;124646;3176;0;121470
Кипр;120992;559;0;120433
Камбоджа;114810;2506;0;112304
Китай;108761;4849;0;103912
Сальвадор;107664;3381;0;104283
Руанда;98697;1308;0;97389
Камерун;95399;1517;0;93882
Ямайка;86126;2000;0;84126
Мальдивы;85548;234;0;85314
Люксембург;79018;836;0;78182
Сенегал;73837;1868;0;71969
Малави;61676;2290;0;59386
Ангола;61378;1622;0;59756
Кот-д’Ивуар;60819;666;0;60153
Конго - Киншаса;57132;1087;0;56045
Реюньон;53963;369;0;53594
Гваделупа;53544;785;0;52759
Тринидад и Тобаго;52728;1551;0;51177
Фиджи;51499;653;0;50846
Эсватини;46276;1227;0;45049
Французская Полинезия;45359;626;0;44733
Суринам;44270;960;0;43310
Мадагаскар;43610;960;0;42650
Французская Гвиана;42157;281;0;41876
Мартиника;41846;645;0;41201
Судан;38824;2951;0;35873
Кабо-Верде;37888;346;0;37542
Мальта;37347;459;0;36888
Сирия;36953;2341;0;34612
Мавритания;36414;785;0;35629
Гайана;33696;840;0;32856
Габон;32135;201;0;31934
Гвинея;30501;383;0;30118
Лаос;28540;26;0;28514
Танзания;25957;723;0;25234
Того;25778;236;0;25542
Бенин;24335;159;0;24176
Папуа — Новая Гвинея;23026;245;0;22781
Гаити;22526;641;0;21885
Белиз;22187;427;0;21760
Сейшельские Острова;21726;118;0;21608
Багамы;21580;590;0;20990
Лесото;21457;652;0;20805
Сомали;21269;1180;0;20089
Восточный Тимор;19673;119;0;19554
Бурунди;19041;38;0;19003
Таджикистан;17484;125;0;17359
Кюрасао;16787;168;0;16619
Тайвань;16294;846;0;15448
Маврикий;16189;106;0;16083
Аруба;15626;169;0;15457
Мали;15471;553;0;14918
Андорра;15291;130;0;15161
Никарагуа;15134;205;0;14929
Конго - Браззавиль;14833;206;0;14627
Буркина-Фасо;14495;195;0;14300
Джибути;13179;174;0;13005
Экваториальная Гвинея;12657;154;0;12503
Исландия;12147;33;0;12114
Южный Судан;12104;130;0;11974
Сент-Люсия;11970;224;0;11746
ЦАР;11401;100;0;11301
Барбадос;10918;94;0;10824
Гамбия;9941;339;0;9602
Йемен;9369;1778;0;7591
Новая Каледония;9166;200;0;8966
Бруней-Даруссалам;8980;64;0;8916
о-в Мэн;8073;54;0;8019
Эритрея;6741;42;0;6699
Сьерра-Леоне;6396;121;0;6275
Гвинея-Бисау;6117;135;0;5982
Нигер;6115;204;0;5911
Либерия;5799;286;0;5513
Гибралтар;5626;97;0;5529
Гренада;5619;177;0;5442
Бермудские о-ва;5501;89;0;5412
Сан-Марино;5466;91;0;5375
Чад;5059;174;0;4885
Новая Зеландия;4660;28;0;4632
Синт-Мартен;4403;69;0;4334
Коморы;4165;147;0;4018
Сент-Винсент и Гренадины;4096;38;0;4058
Доминика;4006;26;0;3980
Сен-Мартен;3819;55;0;3764
Антигуа и Барбуда;3750;93;0;3657
Сан-Томе и Принсипи;3628;56;0;3572
Лихтенштейн;3566;60;0;3506
Монако;3335;35;0;3300
о-ва Тёркс и Кайкос;2898;23;0;2875
Виргинские о-ва ;2725;37;0;2688
Бутан;2613;3;0;2610
Сент-Китс и Невис;2361;17;0;2344
Сен-Бартелеми;1649;6;0;1643
Фарерские о-ва;1280;2;0;1278
Острова Кайман;960;2;0;958
Лайнер «Даймонд Принсесс»;712;13;0;699
Гренландия;623;0;0;623
Ангилья;544;1;0;543
Фолклендские о-ва;68;0;0;68
Монтсеррат;41;1;0;40
Сен-Пьер и Микелон;32;0;0;32
Ватикан;27;0;0;27
Соломоновы Острова;20;0;0;20
Палау;5;0;0;5
Вануату;4;1;0;3
Маршалловы Острова;4;0;0;4
Самоа;3;0;0;3
Кирибати;2;0;0;2
Федеративные Штаты Микронезии;1;0;0;1
Всего;238024682;4856738;6873579;226294365
